step,loss,l2,ce,plan,lr,sps
100,1.8061,0.7031,0.9944,1.0026,1.26e-06,3.0
200,1.8022,0.7084,0.9769,0.9995,2.52e-06,3.2
300,1.7993,0.7055,0.9855,1.0044,3.79e-06,3.2
400,1.7929,0.7061,0.9906,0.9982,5.26e-06,3.2
500,1.7832,0.7047,0.8838,1.0086,6.52e-06,3.2
600,1.7715,0.702,0.8471,1.0049,7.78e-06,3.2
700,1.7604,0.7081,0.7823,1.0031,9.05e-06,3.2
800,1.7505,0.7036,0.7866,1.0051,1.05e-05,3.3
900,1.7215,0.7069,0.6576,0.9994,1.18e-05,3.2
1000,1.7047,0.7045,0.6043,1.001,1.3e-05,3.3
1100,1.6987,0.7017,0.5842,0.9995,1.43e-05,3.3
1200,1.681,0.7116,0.4955,0.9939,1.58e-05,3.3
1300,1.6821,0.7094,0.4863,1.0031,1.7e-05,3.3
1400,1.6624,0.701,0.4249,0.9981,1.83e-05,3.2
1500,1.6574,0.7074,0.4028,0.9961,1.96e-05,3.3
1600,1.6448,0.7044,0.3467,0.996,2.1e-05,3.3
1700,1.6398,0.7055,0.3357,0.9924,2.23e-05,3.3
1800,1.6401,0.7034,0.3021,1.0013,2.36e-05,3.3
1900,1.6272,0.6997,0.305,1.0004,2.48e-05,3.3
2000,1.6258,0.6996,0.2746,0.9999,2.63e-05,3.3
2100,1.6209,0.6972,0.2692,1.0027,2.76e-05,3.3
2200,1.6233,0.6944,0.2702,1.0053,2.88e-05,3.3
2300,1.6156,0.6986,0.2412,1.0034,3.01e-05,3.3
2400,1.6133,0.7015,0.2302,1.001,3.16e-05,3.3
2500,1.6077,0.694,0.2273,0.9964,3.28e-05,3.3
2600,1.6211,0.6975,0.2065,1.0097,3.41e-05,3.2
2700,1.6052,0.6909,0.1972,0.9992,3.53e-05,3.2
2800,1.6123,0.6963,0.2155,1.0008,3.68e-05,3.3
2900,1.6023,0.6958,0.194,0.9938,3.81e-05,3.3
3000,1.6094,0.6932,0.2088,1.008,3.93e-05,3.3
3100,1.5959,0.6907,0.2037,0.9999,4.06e-05,3.3
3200,1.6035,0.6956,0.187,0.9955,4.21e-05,3.2
3300,1.6036,0.697,0.1931,1.0023,4.33e-05,3.3
3400,1.5967,0.6943,0.1917,0.9981,4.46e-05,3.2
3500,1.5986,0.6961,0.1879,0.9979,4.59e-05,3.3
3600,1.6074,0.6976,0.1984,1.0097,4.73e-05,3.2
3700,1.5885,0.6947,0.1907,0.99,4.86e-05,3.2
3800,1.5943,0.6902,0.1868,0.9992,4.99e-05,3.3
3900,1.5989,0.6915,0.1853,1.003,5.11e-05,3.2
4000,1.5958,0.6935,0.1747,0.9933,5.26e-05,3.2
4100,1.598,0.6915,0.1781,1.0023,5.38e-05,3.2
4200,1.6025,0.6925,0.179,1.005,5.51e-05,3.3
4300,1.5905,0.6873,0.1784,1.0013,5.64e-05,3.3
4400,1.6004,0.6852,0.18,1.0062,5.78e-05,3.2
4500,1.5973,0.6936,0.1759,1.0015,5.91e-05,3.3
4600,1.6033,0.6908,0.1757,1.0001,6.04e-05,3.3
4700,1.5924,0.6851,0.1797,1.0033,6.16e-05,3.3
4800,1.5836,0.6898,0.176,0.9919,6.31e-05,3.3
4900,1.5874,0.6837,0.1772,1.0001,6.44e-05,3.2
5000,1.5907,0.685,0.1716,1.0022,6.56e-05,3.2
5100,1.5963,0.6964,0.1785,1.0011,6.69e-05,3.2
5200,1.5892,0.6891,0.1747,0.9953,6.84e-05,3.2
5300,1.5956,0.6857,0.1756,1.0051,6.96e-05,3.3
5400,1.5899,0.6867,0.1721,0.9992,7.09e-05,3.2
5500,1.5905,0.6944,0.1755,0.9946,7.21e-05,3.3
5600,1.5972,0.6911,0.1653,0.9953,7.36e-05,3.2
5700,1.5956,0.6884,0.1654,1.0012,7.49e-05,3.2
5800,1.5825,0.6853,0.1828,0.9953,7.61e-05,3.3
5900,1.5882,0.6882,0.1753,0.9965,7.74e-05,3.2
6000,1.5944,0.6946,0.1705,0.9972,7.89e-05,3.2
6100,1.6039,0.6995,0.1698,1.0037,8.01e-05,3.2
6200,1.5983,0.6945,0.1743,1.0,8.14e-05,3.3
6300,1.5903,0.688,0.1701,0.9989,8.27e-05,3.3
6400,1.5895,0.6921,0.1774,0.9986,8.41e-05,3.3
6500,1.5936,0.6922,0.1702,0.9968,8.54e-05,3.3
6600,1.5899,0.7014,0.1733,0.9943,8.67e-05,3.3
6700,1.5884,0.6851,0.1711,0.9964,8.79e-05,3.3
6800,1.5943,0.6888,0.1741,1.0014,8.94e-05,3.3
6900,1.5872,0.6918,0.1764,1.0004,9.07e-05,3.3
7000,1.5894,0.6866,0.1805,0.9969,9.19e-05,3.3
7100,1.5868,0.691,0.177,0.9947,9.32e-05,3.2
7200,1.5922,0.6871,0.1737,0.9983,9.47e-05,3.2
7300,1.5953,0.6887,0.1667,1.0048,9.59e-05,3.2
