timestamp, index, pstate, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2026/07/03 16:05:35.724, 0, P0, 30, 46.52 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.730, 1, P0, 31, 57.85 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.735, 2, P0, 36, 56.02 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.741, 3, P0, 31, 51.38 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.746, 4, P0, 30, 53.79 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.753, 5, P0, 30, 65.54 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.763, 6, P0, 31, 46.41 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:35.771, 7, P0, 30, 51.12 W, 0 MiB, 0 %, 0 %
2026/07/03 16:05:36.780, 0, P0, 30, 46.66 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:36.916, 1, P2, 31, 58.12 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:36.922, 2, P0, 36, 54.04 W, 20 MiB, 0 %, 0 %
2026/07/03 16:05:36.926, 3, P0, 31, 51.85 W, 18 MiB, 0 %, 0 %
2026/07/03 16:05:36.935, 4, P0, 31, 56.90 W, 20 MiB, 0 %, 0 %
2026/07/03 16:05:36.940, 5, P0, 30, 65.82 W, 18 MiB, 0 %, 0 %
2026/07/03 16:05:36.943, 6, P2, 31, 46.54 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:36.966, 7, P0, 30, 51.37 W, 20 MiB, 0 %, 0 %
2026/07/03 16:05:37.969, 0, P0, 30, 46.37 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:37.970, 1, P2, 31, 57.86 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.971, 2, P2, 35, 54.79 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.971, 3, P2, 31, 50.92 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.972, 4, P2, 30, 56.97 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.973, 5, P2, 30, 65.89 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.974, 6, P2, 31, 46.16 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:37.975, 7, P2, 30, 51.04 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.975, 0, P0, 30, 46.69 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:38.977, 1, P2, 31, 57.63 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.977, 2, P2, 35, 51.48 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.978, 3, P2, 31, 50.44 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.979, 4, P2, 30, 56.69 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.980, 5, P2, 30, 65.66 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.981, 6, P2, 31, 46.18 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:38.982, 7, P2, 30, 50.68 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:39.983, 0, P0, 30, 46.80 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:39.984, 1, P2, 31, 57.52 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:39.984, 2, P2, 35, 51.49 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:39.985, 3, P2, 31, 50.73 W, 390 MiB, 0 %, 0 %
