step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
100,6.25,0.0032768,0.06553423508440809,1.8061,0.7031,0.995,1.0026,1.26e-06,2.9
200,12.5,0.0065536,0.13106847016881618,1.8023,0.7084,0.977,0.9995,2.52e-06,3.1
300,18.75,0.0098304,0.1966027052532243,1.7994,0.7055,0.9859,1.0044,3.79e-06,3.2
400,25.0,0.0131072,0.26213694033763235,1.7929,0.7061,0.9908,0.9982,5.26e-06,3.1
500,31.25,0.016384,0.3276711754220405,1.7832,0.7047,0.8836,1.0086,6.52e-06,3.2
600,37.5,0.0196608,0.3932054105064486,1.7716,0.702,0.8471,1.0049,7.78e-06,3.2
700,43.75,0.0229376,0.45873964559085667,1.7603,0.7081,0.7818,1.0031,9.05e-06,3.1
800,50.0,0.0262144,0.5242738806752647,1.7505,0.7036,0.7868,1.0051,1.05e-05,3.2
900,56.25,0.0294912,0.5898081157596728,1.7216,0.7069,0.658,0.9994,1.18e-05,3.1
1000,62.5,0.032768,0.655342350844081,1.7047,0.7045,0.6041,1.001,1.3e-05,3.1
1100,68.75,0.0360448,0.720876585928489,1.6987,0.7017,0.5843,0.9995,1.43e-05,3.2
1200,75.0,0.0393216,0.7864108210128972,1.681,0.7116,0.4954,0.9939,1.58e-05,3.1
1300,81.25,0.0425984,0.8519450560973052,1.6821,0.7094,0.486,1.0031,1.7e-05,3.2
1400,87.5,0.0458752,0.9174792911817133,1.6624,0.701,0.4249,0.9981,1.83e-05,3.2
1500,93.75,0.049152,0.9830135262661214,1.6575,0.7074,0.4028,0.9961,1.96e-05,3.2
1600,100.0,0.0524288,1.0485477613505294,1.6448,0.7044,0.3467,0.996,2.1e-05,3.2
1700,106.25,0.0557056,1.1140819964349375,1.6398,0.7055,0.3358,0.9924,2.23e-05,3.1
1800,112.5,0.0589824,1.1796162315193457,1.6401,0.7034,0.3021,1.0013,2.36e-05,3.2
1900,118.75,0.0622592,1.2451504666037538,1.6272,0.6997,0.305,1.0004,2.48e-05,3.2
2000,125.0,0.065536,1.310684701688162,1.6258,0.6996,0.2746,0.9999,2.63e-05,3.2
2100,131.25,0.0688128,1.37621893677257,1.6209,0.6972,0.2692,1.0027,2.76e-05,3.2
2200,137.5,0.0720896,1.441753171856978,1.6233,0.6945,0.2702,1.0053,2.88e-05,3.2
2300,143.75,0.0753664,1.5072874069413862,1.6156,0.6986,0.2412,1.0034,3.01e-05,3.2
