model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,100,0.0032768,1.8061,0.7031,0.995,1.0026,1.26e-06,2.9,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,200,0.0065536,1.8023,0.7084,0.977,0.9995,2.52e-06,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,300,0.0098304,1.7994,0.7055,0.9859,1.0044,3.79e-06,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,400,0.0131072,1.7929,0.7061,0.9908,0.9982,5.26e-06,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,500,0.016384,1.7832,0.7047,0.8836,1.0086,6.52e-06,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,600,0.0196608,1.7716,0.702,0.8471,1.0049,7.78e-06,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,700,0.0229376,1.7603,0.7081,0.7818,1.0031,9.05e-06,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,800,0.0262144,1.7505,0.7036,0.7868,1.0051,1.05e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,900,0.0294912,1.7216,0.7069,0.658,0.9994,1.18e-05,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1000,0.032768,1.7047,0.7045,0.6041,1.001,1.3e-05,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1100,0.0360448,1.6987,0.7017,0.5843,0.9995,1.43e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1200,0.0393216,1.681,0.7116,0.4954,0.9939,1.58e-05,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1300,0.0425984,1.6821,0.7094,0.486,1.0031,1.7e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1400,0.0458752,1.6624,0.701,0.4249,0.9981,1.83e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1500,0.049152,1.6575,0.7074,0.4028,0.9961,1.96e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1600,0.0524288,1.6448,0.7044,0.3467,0.996,2.1e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1700,0.0557056,1.6398,0.7055,0.3358,0.9924,2.23e-05,3.1,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1800,0.0589824,1.6401,0.7034,0.3021,1.0013,2.36e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,1900,0.0622592,1.6272,0.6997,0.305,1.0004,2.48e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2000,0.065536,1.6258,0.6996,0.2746,0.9999,2.63e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2100,0.0688128,1.6209,0.6972,0.2692,1.0027,2.76e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2200,0.0720896,1.6233,0.6945,0.2702,1.0053,2.88e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2300,0.0753664,1.6156,0.6986,0.2412,1.0034,3.01e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2400,0.0786432,1.6132,0.7015,0.2301,1.001,3.16e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2500,0.08192,1.6077,0.694,0.2275,0.9964,3.28e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2600,0.0851968,1.6211,0.6975,0.2065,1.0097,3.41e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2700,0.0884736,1.6052,0.6909,0.1972,0.9992,3.53e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2800,0.0917504,1.6123,0.6963,0.2154,1.0008,3.68e-05,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,2900,0.0950272,1.6023,0.6958,0.1939,0.9938,3.81e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3000,0.098304,1.6094,0.6932,0.2087,1.008,3.93e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3100,0.1015808,1.5959,0.6907,0.2037,0.9999,4.06e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3200,0.1048576,1.6035,0.6956,0.1871,0.9955,4.21e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3300,0.1081344,1.6036,0.697,0.1932,1.0023,4.33e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3400,0.1114112,1.5967,0.6943,0.1917,0.9981,4.46e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3500,0.114688,1.5986,0.6961,0.1879,0.9979,4.59e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3600,0.1179648,1.6074,0.6976,0.1984,1.0097,4.73e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3700,0.1212416,1.5885,0.6947,0.1908,0.99,4.86e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3800,0.1245184,1.5943,0.6902,0.1868,0.9992,4.99e-05,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,3900,0.1277952,1.5989,0.6915,0.1853,1.003,5.11e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4000,0.131072,1.5958,0.6935,0.1747,0.9933,5.26e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4100,0.1343488,1.598,0.6915,0.1781,1.0023,5.38e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4200,0.1376256,1.6025,0.6925,0.179,1.005,5.51e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4300,0.1409024,1.5905,0.6873,0.1784,1.0013,5.64e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4400,0.1441792,1.6004,0.6852,0.18,1.0062,5.78e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4500,0.147456,1.5973,0.6936,0.1759,1.0015,5.91e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4600,0.1507328,1.6033,0.6909,0.1757,1.0001,6.04e-05,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4700,0.1540096,1.5925,0.6851,0.1797,1.0033,6.16e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4800,0.1572864,1.5836,0.6899,0.176,0.9919,6.31e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,4900,0.1605632,1.5874,0.6837,0.1772,1.0001,6.44e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5000,0.16384,1.5908,0.685,0.1716,1.0022,6.56e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5100,0.1671168,1.5963,0.6964,0.1785,1.0011,6.69e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5200,0.1703936,1.5892,0.6891,0.1748,0.9953,6.84e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5300,0.1736704,1.5956,0.6858,0.1756,1.0051,6.96e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5400,0.1769472,1.59,0.6867,0.1721,0.9992,7.09e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5500,0.180224,1.5905,0.6944,0.1755,0.9946,7.21e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5600,0.1835008,1.5973,0.6911,0.1654,0.9953,7.36e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5700,0.1867776,1.5956,0.6884,0.1654,1.0012,7.49e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5800,0.1900544,1.5825,0.6853,0.1827,0.9953,7.61e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,5900,0.1933312,1.5882,0.6882,0.1754,0.9965,7.74e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6000,0.196608,1.5944,0.6946,0.1706,0.9972,7.89e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6100,0.1998848,1.6039,0.6995,0.1698,1.0037,8.01e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6200,0.2031616,1.5982,0.6945,0.1743,1.0,8.14e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6300,0.2064384,1.5902,0.688,0.1701,0.9989,8.27e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6400,0.2097152,1.5895,0.6921,0.1775,0.9986,8.41e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6500,0.212992,1.5936,0.6922,0.1703,0.9968,8.54e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,6600,0.2162688,1.5896,0.701,0.1733,0.9943,8.67e-05,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
